,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SMARCA1,50.51078332,-3.538131925,0.933647561,-3.789579786,0.000150902,0.005527062
GNGT2,22.05688881,8.157465189,2.152559265,3.789658814,0.000150854,0.005527062
ARL10,195.2668982,-2.461508296,0.650163747,-3.785982083,0.000153103,0.005596483
HCAR3,55.0302985,5.424810196,1.434130651,3.782647134,0.000155169,0.005649518
CSF2RA,408.9296903,3.85396594,1.018834524,3.782720206,0.000155124,0.005649518
RP11-1082L8.4,18.05171837,7.867296519,2.080871643,3.780769729,0.000156344,0.005674606
IGSF6,748.1997558,4.559107829,1.205934966,3.780558617,0.000156477,0.005674606
ZNRF3,95.86916429,-4.355855319,1.152351692,-3.779970427,0.000156847,0.005676809
HIF3A,32.34079218,-7.349473329,1.94593927,-3.776825639,0.00015884,0.00573762
RP11-61A14.3,40.70986577,-4.114653813,1.090777236,-3.772221932,0.0001618,0.005833073
SPRY1,832.3708786,-5.943609967,1.575939559,-3.77147076,0.000162288,0.005833384
SH3GL3,18.42059189,-7.459780451,1.978076059,-3.771230341,0.000162445,0.005833384
JAM2,70.41690627,-4.53001088,1.201578461,-3.770050002,0.000163215,0.005849595
HEYL,58.99737586,-3.001700255,0.796654552,-3.767881884,0.000164639,0.005889118
GUCY1A3,3249.397971,-3.096761968,0.822039776,-3.767168036,0.00016511,0.005894487
CD109,1838.383177,-3.311745261,0.879766935,-3.764343862,0.000166987,0.005949924
SULF2,517.4530973,4.767983954,1.267084911,3.762955357,0.000167917,0.005971474
CXCR2P1,53.48126584,7.67634416,2.040338657,3.762289233,0.000168365,0.005975824
AC011515.2,11.81174279,6.330809369,1.683625869,3.760223388,0.000169762,0.006013759
JDP2,65.09510206,3.197281817,0.851444339,3.755127223,0.000173253,0.006125628
GPR87,22.69199633,-6.731286805,1.792865273,-3.754485574,0.000173698,0.00612953
HP,45.89892206,3.997257605,1.065701301,3.750823613,0.000176255,0.006207818
RP11-425I13.3,13.63811433,6.424349645,1.713086756,3.750160126,0.000176722,0.006212343
RGS2,4527.859369,4.131508878,1.10184746,3.74961964,0.000177103,0.006213843
PDGFRA,45.79041534,-7.857520798,2.095958855,-3.748890765,0.000177618,0.006220034
VLDLR,28.10152143,4.180747553,1.117012798,3.742792886,0.000181986,0.006360852
ALOX5,291.8950778,4.984812973,1.334234673,3.736084118,0.000186908,0.006508093
COL14A1,43.17152217,-5.126414502,1.372003491,-3.73644421,0.000186641,0.006508093
CSGALNACT1,87.60382234,5.411324418,1.44875848,3.735145983,0.000187606,0.00652003
RP11-452C13.1,14.42568937,7.541582852,2.019688695,3.734032314,0.000188438,0.006536565
IL1RN,349.0579764,5.454983945,1.461516884,3.732412541,0.000189655,0.006554426
PKIB,200.1478956,5.038467164,1.349991567,3.732221213,0.000189799,0.006554426
RP11-401P9.4,9.914143114,7.018480164,1.880661289,3.731921428,0.000190025,0.006554426
C3AR1,2170.295285,5.73103934,1.53761956,3.727215425,0.000193607,0.006665456
SLC25A27,21.24670049,-7.664708603,2.058033621,-3.724287361,0.000195868,0.006697337
RP11-707A18.1,15.58922799,-7.219282565,1.937970168,-3.725177345,0.000195178,0.006697337
GLIPR2,1797.426575,2.173240911,0.583623121,3.723705987,0.00019632,0.006697337
LYST,6011.851067,2.789121433,0.749027548,3.723656682,0.000196358,0.006697337
RBPMS,799.1420812,-3.278482913,0.880283319,-3.7243497,0.000195819,0.006697337
