,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
GPR56,364.0553782,-6.758181405,0.985044134,-6.86079047,6.85E-12,2.73E-09
LYZ,50061.08931,8.138578979,1.199948494,6.782440264,1.18E-11,4.61E-09
DTX4,357.8804951,12.18523755,1.800545186,6.767526663,1.31E-11,5.01E-09
BEND7,185.8975462,-10.79679529,1.597288699,-6.759451372,1.39E-11,5.19E-09
MPEG1,28792.12021,10.2845267,1.524949132,6.744176895,1.54E-11,5.65E-09
PRKG1,381.5038791,-11.83454406,1.757426798,-6.73401821,1.65E-11,5.94E-09
PEAR1,113.298673,-7.683081089,1.142054467,-6.727420897,1.73E-11,5.98E-09
CD101,225.5997186,11.51934667,1.711639857,6.730006096,1.70E-11,5.98E-09
TYROBP,626.9303363,5.653210314,0.842551395,6.709632606,1.95E-11,6.53E-09
SYTL4,479.9643577,-6.033459041,0.899275913,-6.709241243,1.96E-11,6.53E-09
TLR8,1460.925004,8.986950629,1.345473074,6.679398348,2.40E-11,7.72E-09
CD163,2838.758837,11.64391459,1.742612875,6.681871093,2.36E-11,7.72E-09
MMRN1,2790.428158,-5.764860236,0.867843194,-6.642744078,3.08E-11,9.74E-09
CD300LB,205.5263626,11.38445531,1.733121051,6.568759465,5.07E-11,1.58E-08
FAM169A,437.94239,-6.210646593,0.947987801,-6.551399278,5.70E-11,1.74E-08
VCAN,47005.95967,10.68633218,1.632615497,6.545529064,5.93E-11,1.78E-08
VWF,309.1537731,-6.263648941,0.960114359,-6.523857168,6.85E-11,2.03E-08
PCDH9,3722.980035,-8.550413071,1.313458678,-6.509845507,7.52E-11,2.19E-08
CYTL1,194.0345177,-7.342452182,1.128876331,-6.504213067,7.81E-11,2.24E-08
FGD2,323.4153348,8.447150386,1.304695264,6.474424045,9.52E-11,2.69E-08
MED12L,1592.442885,-4.680290102,0.725115779,-6.454541794,1.09E-10,2.97E-08
MPL,287.3112089,-8.419653427,1.304876276,-6.452453448,1.10E-10,2.97E-08
PCDH17,73.02433221,-9.450485736,1.463825746,-6.456018254,1.07E-10,2.97E-08
ELOVL7,188.9963749,-5.941234598,0.922294832,-6.441795394,1.18E-10,3.14E-08
RP11-384P7.7,101.4232954,-9.922834078,1.546573608,-6.416011517,1.40E-10,3.67E-08
PLSCR4,198.0432878,-9.894422095,1.543301642,-6.41120428,1.44E-10,3.73E-08
EGFEM1P,100.9076371,-9.914758676,1.552719935,-6.385413397,1.71E-10,4.36E-08
C5AR1,2209.511194,12.12779546,1.906240601,6.362153579,1.99E-10,5.00E-08
BMP6,230.900495,-6.363385434,1.007530841,-6.315821984,2.69E-10,6.60E-08
PILRA,480.7150186,9.660397226,1.530163031,6.313312392,2.73E-10,6.60E-08
MEFV,132.6753186,9.750324941,1.544462022,6.313088184,2.74E-10,6.60E-08
TCEAL2,240.7147676,-11.1700005,1.780304434,-6.2742081,3.51E-10,8.37E-08
S100A9,682.5592,10.6158099,1.701775828,6.238077732,4.43E-10,1.04E-07
TLR4,3401.010512,5.096343553,0.818984076,6.222762692,4.88E-10,1.13E-07
FERMT1,84.52977482,-6.535790176,1.051862672,-6.213539418,5.18E-10,1.19E-07
CDC14B,121.1318877,-6.303351181,1.018230416,-6.190495866,6.00E-10,1.34E-07
CNN3,126.3309548,-9.307920407,1.503292817,-6.191688207,5.95E-10,1.34E-07
1\Mar,89.27550526,6.270020665,1.014044254,6.18318248,6.28E-10,1.39E-07
MACC1,639.342325,-7.64138728,1.241855305,-6.153202588,7.59E-10,1.66E-07
SCIMP,928.5721963,9.369558677,1.525135937,6.143425285,8.08E-10,1.74E-07
RASSF6,84.67061973,-9.661834643,1.575957693,-6.130770314,8.75E-10,1.87E-07
PROM1,966.6191687,-6.164832372,1.008191114,-6.114745792,9.67E-10,2.04E-07
FPR1,733.3470275,12.31770534,2.017774769,6.104598756,1.03E-09,2.13E-07
F2RL1,307.5866234,-7.307578875,1.197104793,-6.104376926,1.03E-09,2.13E-07
SAMD12,216.4539569,-6.287477685,1.031324495,-6.096507662,1.08E-09,2.19E-07
PPARGC1A,151.7654769,10.0326454,1.645542973,6.096860162,1.08E-09,2.19E-07
FIGN,134.1367843,-10.32560236,1.70390873,-6.059950381,1.36E-09,2.72E-07
CD4,1263.493398,5.185548049,0.856126165,6.056990503,1.39E-09,2.74E-07
ITGAM,2551.585957,7.572296871,1.257733716,6.020588279,1.74E-09,3.39E-07
TLR2,1959.320895,6.335734925,1.055546565,6.002326318,1.95E-09,3.76E-07
KAL1,123.4369621,-10.20587989,1.702270607,-5.995450924,2.03E-09,3.88E-07
HMOX1,225.4917561,10.49457408,1.752664376,5.987783073,2.13E-09,4.02E-07
ITGAX,944.1717638,7.324006875,1.224104156,5.983156614,2.19E-09,4.10E-07
LILRB1,371.8768102,11.20415669,1.882377051,5.952132004,2.65E-09,4.89E-07
HOOK1,93.58455024,-9.80623051,1.647853286,-5.950912374,2.67E-09,4.89E-07
SYNE2,155.4303248,-5.45812213,0.917793765,-5.947002843,2.73E-09,4.96E-07
SOCS2,2820.319324,-6.839038737,1.150639409,-5.943685473,2.79E-09,5.01E-07
FCGR3A,1598.738718,10.89363578,1.836625592,5.931331805,3.00E-09,5.32E-07
RP11-290F20.3,346.6169177,9.490779884,1.600256077,5.930788217,3.01E-09,5.32E-07
DLK1,346.4990915,-10.68148695,1.802743028,-5.925130082,3.12E-09,5.45E-07
LPXN,836.5004334,4.574205239,0.773839574,5.911051067,3.40E-09,5.88E-07
MFAP3L,162.4566711,-10.60254047,1.795274608,-5.905804283,3.51E-09,6.02E-07
CD1C,253.8481908,10.66035934,1.805805572,5.903381574,3.56E-09,6.05E-07
RP11-420K14.2,120.005989,-10.16596508,1.723155652,-5.899620889,3.64E-09,6.13E-07
SIRPB2,524.1249811,7.857091764,1.335762092,5.882104165,4.05E-09,6.76E-07
EMCN,142.5476469,-8.346903424,1.419921622,-5.878425468,4.14E-09,6.85E-07
TLR7,366.3820893,9.047459988,1.540590246,5.872723139,4.29E-09,7.02E-07
ZNF595,72.95234847,-6.130256985,1.044810112,-5.867340786,4.43E-09,7.19E-07
BEX2,749.7914307,-7.034134738,1.199552198,-5.863967194,4.52E-09,7.27E-07
SOCS2-AS1,365.8075486,-7.249422813,1.236851621,-5.861190371,4.60E-09,7.33E-07
PPARG,77.0462916,9.967203551,1.708011304,5.835560647,5.36E-09,8.48E-07
F13A1,1967.90659,5.461664234,0.936207921,5.833815449,5.42E-09,8.50E-07
CYBB,10641.35418,8.307838078,1.428837323,5.814404444,6.09E-09,9.39E-07
LDOC1,82.40491422,-9.621938468,1.65487538,-5.814297913,6.09E-09,9.39E-07
SALL2,69.44728485,-9.374674359,1.615962332,-5.8012951,6.58E-09,1.01E-06
ESR2,94.1178752,-7.467752755,1.287787155,-5.798902968,6.68E-09,1.01E-06
TMEM98,51.05171271,-8.93042423,1.541601,-5.792954356,6.92E-09,1.04E-06
S100A12,495.3842436,9.689025605,1.67977743,5.768041307,8.02E-09,1.19E-06
NUAK2,124.3289684,5.754396244,0.997602147,5.768227608,8.01E-09,1.19E-06
PARD3B,110.3918787,-10.04465067,1.743828334,-5.760114384,8.41E-09,1.23E-06
MYO5C,429.2082259,-5.205878713,0.904940816,-5.752728376,8.78E-09,1.28E-06
UCHL1,110.0793232,-10.04029514,1.746370936,-5.749233987,8.96E-09,1.29E-06
CYP1B1,452.9462089,11.47868596,1.996378214,5.749755172,8.94E-09,1.29E-06
NFIA,1577.864328,-5.708675607,0.993730296,-5.744693131,9.21E-09,1.31E-06
MAP9,127.4289698,-7.573868227,1.320568409,-5.73530926,9.73E-09,1.37E-06
MS4A4A,635.8014159,8.160521185,1.425618883,5.724195493,1.04E-08,1.46E-06
MAFB,3391.714608,10.75309051,1.880940647,5.716868594,1.09E-08,1.51E-06
NCKAP1,177.0359425,-8.383271279,1.467259971,-5.713555502,1.11E-08,1.53E-06
INPP4B,1860.953895,-7.770851736,1.361779516,-5.706394936,1.15E-08,1.58E-06
THRB,1439.051727,-7.299333385,1.28158125,-5.695568176,1.23E-08,1.67E-06
CLEC9A,175.0296407,-7.999680355,1.406572068,-5.687359033,1.29E-08,1.74E-06
CD300C,85.47085302,9.108446521,1.604637412,5.676326908,1.38E-08,1.84E-06
ZNF662,205.9299156,-6.605225922,1.164191184,-5.673660834,1.40E-08,1.85E-06
CRISPLD2,204.4442716,8.593393988,1.514629985,5.673592939,1.40E-08,1.85E-06
AJ006998.2,253.2402232,-7.364442493,1.302819723,-5.65269497,1.58E-08,2.07E-06
RBM47,1227.391297,7.449134277,1.323308656,5.629173695,1.81E-08,2.36E-06
MIPOL1,98.12623059,-8.946679335,1.599539328,-5.593285003,2.23E-08,2.88E-06
NLGN1,92.89009076,-8.796204,1.574032841,-5.588323045,2.29E-08,2.94E-06
TYMP,96.87758957,7.636883892,1.366855701,5.587191013,2.31E-08,2.94E-06
CHST15,640.7803877,10.34612353,1.852738108,5.584234211,2.35E-08,2.97E-06
RP11-365H23.1,86.23346885,-8.691393585,1.557892936,-5.578941519,2.42E-08,3.04E-06
MEG3,412.3510852,-7.839648337,1.408144456,-5.567360867,2.59E-08,3.23E-06
